task_id;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;45/47c145;nf-4547c1451fccd84b77a2ae2cee6a36c5;preprocessing:generateAnalysisMask;-;preprocessing:generateAnalysisMask;COMPLETED;0;-;davidfrantz/force:3.6.5;1;180000;-;524288000;1;1625035378499;1625035383000;1625035398000;19501;13290;-;93.7;0.1;24911872;86212608;25153536;86265856;69885716;4076054;26473;2349;3706880;5980160;566;54;/workdir/work/45/47c1451fccd84b77a2ae2cee6a36c5;true;-
2;1d/481197;nf-1d481197892c9f2fef0cb0eeb29ea262;preprocessing:generateTileAllowList;-;preprocessing:generateTileAllowList;COMPLETED;0;-;davidfrantz/force;1;180000;-;524288000;1;1625035378758;1625035384000;1625035425000;46242;36553;-;76.0;0.1;28078080;398278656;28319744;398450688;71507213;4850932;27793;2515;54628352;6774784;608;53;/workdir/work/1d/481197892c9f2fef0cb0eeb29ea262;true;-
24;11/a8f389;nf-11a8f38978e9b01967c08306bf78bc3d;preprocessing:preprocess;LT05_L1TP_183035_19940917_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19940917_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625035432705;1625035448000;1625035643000;210295;194954;-;177.8;23.9;4019171328;5894713344;4019171328;5894766592;103281509;7761751;10017;1494;0;7888896;523;614;/workdir/work/11/a8f38978e9b01967c08306bf78bc3d;true;-
49;b8/569a48;nf-b8569a4830daf0329941a4ceb0abe7ce;preprocessing:preprocess;LT05_L1TP_183035_19880409_20180112_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19880409_20180112_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625035443691;1625035455000;1625035643000;199309;187315;-;177.7;23.9;4018728960;5881778176;4018728960;5881831424;108841378;11862108;10965;1619;0;11980800;676;697;/workdir/work/b8/569a4830daf0329941a4ceb0abe7ce;true;-
12;db/670109;nf-db670109a0591b2b410ef477848a6a8a;preprocessing:preprocess;LT05_L1TP_183035_19980811_20170717_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980811_20170717_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625035430655;1625035441000;1625035647000;216345;206105;-;175.8;24.3;4082102272;5960613888;4082102272;5960667136;113053001;15357107;11023;1727;0;15482880;727;698;/workdir/work/db/670109a0591b2b410ef477848a6a8a;true;-
43;78/6b414c;nf-786b414ce90852345909a70daeb6667d;preprocessing:preprocess;LT05_L1TP_183035_20020315_20180312_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20020315_20180312_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625035439749;1625035453000;1625035660000;220251;206203;-;172.7;24.1;4041531392;5909086208;4041531392;5909139456;129046860;7017900;10808;1468;0;7143424;529;668;/workdir/work/78/6b414ce90852345909a70daeb6667d;true;-
6;74/439c8b;nf-74439c8b78c63bbd9348766c0fe5bc2f;preprocessing:preprocess;LT05_L1TP_183035_19980523_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980523_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625035429670;1625035441000;1625035658000;228330;217005;-;171.5;24.3;4083961856;5961752576;4083961856;5961805824;122205291;15527616;11293;1731;28672;15654912;618;740;/workdir/work/74/439c8b78c63bbd9348766c0fe5bc2f;true;-
16;cd/edddb0;nf-cdedddb0cdd6f7cfcba68b68dd5ab79d;preprocessing:preprocess;LT05_L1TP_183035_19950429_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19950429_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625035431429;1625035444000;1625035668000;236571;222872;-;171.6;24.0;4029870080;5888933888;4029870080;5888987136;104937683;8109721;10005;1505;0;8232960;661;769;/workdir/work/cd/edddb0cdd6f7cfcba68b68dd5ab79d;true;-
33;08/5f59ea;nf-085f59ea36fde842c857f9ecbdef973f;preprocessing:preprocess;LT05_L1TP_183035_19940715_20180616_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19940715_20180616_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625035436020;1625035449000;1625035669000;232980;219296;-;172.1;23.8;3998171136;5867483136;3998171136;5867536384;103733197;6117115;10009;1444;0;6242304;562;665;/workdir/work/08/5f59ea36fde842c857f9ecbdef973f;true;-
41;3f/47a6ec;nf-3f47a6ec258e5cba08ff94d4680cac67;preprocessing:preprocess;LE07_L1TP_183035_20020713_20170129_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20020713_20170129_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625035439380;1625035454000;1625035667000;227620;212914;-;176.6;24.1;4045582336;5924769792;4045582336;5924823040;119144335;8551953;10680;1519;0;8675328;631;698;/workdir/work/3f/47a6ec258e5cba08ff94d4680cac67;true;-
