task_id;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;d6/6ac82a;nf-d66ac82a7db99ed5464eb6ff0595b1da;preprocessing:generateAnalysisMask;-;preprocessing:generateAnalysisMask;COMPLETED;0;-;davidfrantz/force:3.6.5;1;180000;-;524288000;1;1625264862023;1625264867000;1625264886000;23977;18197;-;68.4;0.2;39428096;380563456;39440384;380768256;69899324;3666409;26476;2249;3878912;5365760;270;89;/workdir/work/d6/6ac82a7db99ed5464eb6ff0595b1da;true;-
1;00/437d7f;nf-00437d7f94e68baa7a613d9a95620379;preprocessing:generateTileAllowList;-;preprocessing:generateTileAllowList;COMPLETED;0;-;davidfrantz/force;1;180000;-;524288000;1;1625264861781;1625264866000;1625264899000;37219;31692;-;85.9;0.2;40554496;399167488;40562688;399339520;71524526;5031177;27797;2559;54960128;7045120;622;88;/workdir/work/00/437d7f94e68baa7a613d9a95620379;true;-
13;fb/63b4a8;nf-fb63b4a8a6d03b49c8d5e49c07b89c05;preprocessing:preprocess;LT05_L1TP_183035_19950718_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19950718_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264911089;1625264919000;1625265123000;211911;203503;-;173.5;23.8;3995185152;5860831232;3995185152;5860884480;101252323;6503411;9763;1457;0;6631424;785;672;/workdir/work/fb/63b4a8a6d03b49c8d5e49c07b89c05;true;-
23;7b/69a4fd;nf-7b69a4fdefb3ace6f39e4a13a698171b;preprocessing:preprocess;LT05_L1TP_183035_19900602_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19900602_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264913037;1625264921000;1625265125000;211963;203195;-;176.8;23.7;3978485760;5842857984;3978485760;5842911232;115822999;9596464;10244;1551;0;9715712;505;598;/workdir/work/7b/69a4fdefb3ace6f39e4a13a698171b;true;-
4;92/350059;nf-923500594c369c2afa261a4a9b9b3ffb;preprocessing:preprocess;LT05_L1TP_183035_19980421_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980421_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264908720;1625264915000;1625265130000;221280;215253;-;174.0;24.3;4081070080;5960581120;4081070080;5960634368;121553575;18587022;11351;1823;0;18706432;745;1137;/workdir/work/92/3500594c369c2afa261a4a9b9b3ffb;true;-
6;2d/055302;nf-2d055302e6d541f8187d686acd1a935e;preprocessing:preprocess;LT05_L1TP_183035_19980523_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980523_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264909650;1625264918000;1625265127000;217350;208345;-;179.1;24.3;4082802688;5961752576;4082802688;5961805824;122205294;15527617;11293;1731;376832;15654912;686;775;/workdir/work/2d/055302e6d541f8187d686acd1a935e;true;-
3;c5/d97c00;nf-c5d97c001f9d9a1e65e7b50c87188076;preprocessing:preprocess;LT05_L1TP_183035_20040811_20180309_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20040811_20180309_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264909077;1625264916000;1625265139000;229923;222868;-;175.9;24.2;4073054208;5942378496;4073054208;5942431744;112434020;18999713;10912;1837;0;19116032;620;699;/workdir/work/c5/d97c001f9d9a1e65e7b50c87188076;true;-
12;fb/8e461b;nf-fb8e461b559f8b14ee025b067d2095ac;preprocessing:preprocess;LT05_L1TP_183035_19980811_20170717_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980811_20170717_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264911024;1625264918000;1625265136000;224976;216792;-;178.8;24.3;4081893376;5960613888;4081893376;5960667136;113053016;15357110;11023;1727;0;15482880;704;733;/workdir/work/fb/8e461b559f8b14ee025b067d2095ac;true;-
14;f6/a9b800;nf-f6a9b8007dd07c976559e26525f927ef;preprocessing:preprocess;LT05_L1TP_183035_20010616_20180311_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20010616_20180311_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264911246;1625264919000;1625265138000;226754;218864;-;176.1;24.0;4036669440;5914595328;4036669440;5914648576;122744691;9003369;10634;1535;0;9125888;658;685;/workdir/work/f6/a9b8007dd07c976559e26525f927ef;true;-
24;a0/a16e3c;nf-a0a16e3cdbb84ae6a737f6754a7a36d6;preprocessing:preprocess;LT05_L1TP_183035_19940917_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19940917_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264913244;1625264922000;1625265138000;224756;215894;-;175.5;23.9;4018671616;5894713344;4018671616;5894766592;103281515;7761754;10017;1494;0;7888896;605;667;/workdir/work/a0/a16e3cdbb84ae6a737f6754a7a36d6;true;-
28;ba/227eb4;nf-ba227eb4976d3f4ee755d8cb4c5bbe35;preprocessing:preprocess;LE07_L1TP_183035_20050923_20170112_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20050923_20170112_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264914185;1625264923000;1625265139000;224815;216624;-;178.8;24.6;4131348480;6009507840;4131348480;6009561088;123318205;6632036;11634;1459;0;6754304;633;723;/workdir/work/ba/227eb4976d3f4ee755d8cb4c5bbe35;true;-
32;6d/1f3490;nf-6d1f34905331b1be8f7284c3787c1d02;preprocessing:preprocess;LT05_L1TP_183035_19870423_20170213_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19870423_20170213_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264914705;1625264922000;1625265142000;227295;219434;-;174.2;24.0;4029968384;5893734400;4029968384;5893787648;135121948;13302456;11643;1662;0;13418496;709;717;/workdir/work/6d/1f34905331b1be8f7284c3787c1d02;true;-
38;a5/a38a88;nf-a5a38a880aada6e7b2fb909220ea8a28;preprocessing:preprocess;LE07_L1TP_183035_20030817_20170125_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20030817_20170125_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264915597;1625264927000;1625265145000;229403;218631;-;170.6;24.1;4058058752;5931429888;4058058752;5931483136;92262114;6019904;9802;1441;0;6139904;527;798;/workdir/work/a5/a38a880aada6e7b2fb909220ea8a28;true;-
39;de/5de5e6;nf-de5de5e6f3bfb8fa2003b788b3846927;preprocessing:preprocess;LT05_L1TP_183035_20010515_20180311_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20010515_20180311_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264915758;1625264927000;1625265140000;224242;213435;-;172.6;24.4;4095356928;5967450112;4095356928;5967503360;123458753;11360756;11380;1604;0;11481088;711;630;/workdir/work/de/5de5e6f3bfb8fa2003b788b3846927;true;-
19;d5/4f2994;nf-d54f29946f6f3102395a6160e67ff40d;preprocessing:preprocess;LT05_L1TP_183035_19980304_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980304_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264912253;1625264920000;1625265153000;240747;232890;-;175.2;24.2;4068290560;5943422976;4068290560;5943476224;119252149;13249878;11097;1661;0;13373440;806;2010;/workdir/work/d5/4f29946f6f3102395a6160e67ff40d;true;-
20;eb/63c118;nf-eb63c118d675c9eea510de5d902cb158;preprocessing:preprocess;LE07_L1TP_183035_19990923_20170217_01_T1;preprocessing:preprocess (LE07_L1TP_183035_19990923_20170217_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264912449;1625264920000;1625265148000;235551;228569;-;174.7;24.3;4086910976;5952434176;4086910976;5952487424;125579069;9835922;11749;1558;167936;9957376;662;787;/workdir/work/eb/63c118d675c9eea510de5d902cb158;true;-
27;b9/895960;nf-b989596031e900ac734288c52f71df45;preprocessing:preprocess;LT05_L1TP_183035_19991102_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19991102_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264913798;1625264921000;1625265151000;237202;229030;-;171.4;24.0;4025757696;5902303232;4025757696;5902356480;109158327;7150263;10140;1474;0;7266304;558;679;/workdir/work/b9/89596031e900ac734288c52f71df45;true;-
33;d9/a7491c;nf-d9a7491c08e81452bccd680b630ccd39;preprocessing:preprocess;LT05_L1TP_183035_19940715_20180616_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19940715_20180616_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264914835;1625264925000;1625265153000;238165;227421;-;170.2;23.8;3997208576;5867483136;3997208576;5867536384;103733207;6117118;10009;1444;0;6242304;528;701;/workdir/work/d9/a7491c08e81452bccd680b630ccd39;true;-
37;89/8f962e;nf-898f962e0978f9f01ac6dd24bfcf86f9;preprocessing:preprocess;LT05_L1TP_183035_19990627_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19990627_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264915340;1625264923000;1625265156000;240660;232234;-;174.3;24.2;4073316352;5949255680;4073316352;5949308928;118736578;11881142;11306;1621;0;11997184;596;734;/workdir/work/89/8f962e0978f9f01ac6dd24bfcf86f9;true;-
41;32/29377e;nf-3229377e0cfe694dc5c860630687ffc5;preprocessing:preprocess;LE07_L1TP_183035_20020713_20170129_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20020713_20170129_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264916082;1625264925000;1625265155000;238918;230606;-;175.1;24.1;4046168064;5924769792;4046168064;5924823040;119144342;8551955;10680;1519;0;8675328;623;652;/workdir/work/32/29377e0cfe694dc5c860630687ffc5;true;-
5;14/a1e523;nf-14a1e5233a2596654552e88f6284a1c3;preprocessing:preprocess;LE07_L1TP_183035_20000824_20170210_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20000824_20170210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264909409;1625264918000;1625265154000;244591;235411;-;165.7;24.0;4032860160;5912489984;4032860160;5912543232;115887199;8095620;10576;1505;159744;8216576;698;719;/workdir/work/14/a1e5233a2596654552e88f6284a1c3;true;-
25;d6/e5b3ca;nf-d6e5b3ca0356011edfd19b0a52b23bd1;preprocessing:preprocess;LE07_L1TP_183035_20020307_20170131_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20020307_20170131_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625264913542;1625264922000;1625265161000;247458;238947;-;175.8;24.1;4050784256;5918806016;4050784256;5918859264;125365277;5787651;10984;1410;0;5881856;646;752;/workdir/work/d6/e5b3ca0356011edfd19b0a52b23bd1;true;-
