task_id;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;02/ce42c3;nf-02ce42c3082719b9bfefbabf5b51f15b;preprocessing:generateAnalysisMask;-;preprocessing:generateAnalysisMask;COMPLETED;0;-;davidfrantz/force:3.6.5;1;180000;-;524288000;1;1625311035862;1625311040000;1625311054000;18138;13991;-;92.7;0.1;28119040;105168896;28356608;105222144;69892087;3772914;26472;2275;4059136;5525504;545;79;/workdir/work/02/ce42c3082719b9bfefbabf5b51f15b;true;-
1;53/09ba0e;nf-5309ba0e3d6d361386feb1596910f958;preprocessing:generateTileAllowList;-;preprocessing:generateTileAllowList;COMPLETED;0;-;davidfrantz/force;1;180000;-;524288000;1;1625311036199;1625311040000;1625311076000;39801;35145;-;80.4;0.1;28377088;223375360;28622848;223547392;71410128;4769011;27767;2495;86241280;6688768;574;64;/workdir/work/53/09ba0e3d6d361386feb1596910f958;true;-
4;b6/6f2cdf;nf-b66f2cdfef42260e9480d09770fa2986;preprocessing:preprocess;LT05_L1TP_183035_19980421_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980421_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311079737;1625311090000;1625311293000;213263;202790;-;173.8;24.3;4080848896;5960581120;4080848896;5960634368;121553582;18587024;11350;1823;0;18706432;762;776;/workdir/work/b6/6f2cdfef42260e9480d09770fa2986;true;-
14;c9/66024f;nf-c966024f4e56e2c56144795102800f6b;preprocessing:preprocess;LT05_L1TP_183035_20010616_20180311_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20010616_20180311_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311081377;1625311089000;1625311295000;213623;205690;-;173.1;24.0;4034670592;5914595328;4034670592;5914648576;122744690;9003369;10634;1535;0;9125888;701;762;/workdir/work/c9/66024f4e56e2c56144795102800f6b;true;-
33;35/a75d15;nf-35a75d15217100b81fedc6fcb2ae5296;preprocessing:preprocess;LT05_L1TP_183035_19940715_20180616_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19940715_20180616_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311085967;1625311098000;1625311306000;220033;207460;-;173.0;23.8;3998744576;5867483136;3998744576;5867536384;103733212;6117118;10009;1444;0;6242304;597;688;/workdir/work/35/a75d15217100b81fedc6fcb2ae5296;true;-
6;1f/c2251b;nf-1fc2251b450a57cd6235e4d755d422b6;preprocessing:preprocess;LT05_L1TP_183035_19980523_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980523_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311080207;1625311089000;1625311310000;229793;220253;-;177.1;24.3;4084641792;5961752576;4084641792;5961805824;122206206;15527612;11292;1731;0;15654912;630;823;/workdir/work/1f/c2251b450a57cd6235e4d755d422b6;true;-
13;89/faf59d;nf-89faf59d9a251858847ad49ca99273b2;preprocessing:preprocess;LT05_L1TP_183035_19950718_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19950718_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311081252;1625311090000;1625311315000;233748;225328;-;172.9;23.8;3992502272;5860831232;3992502272;5860884480;101252321;6503411;9763;1457;0;6631424;546;693;/workdir/work/89/faf59d9a251858847ad49ca99273b2;true;-
59;95/d376be;nf-95d376be540e6c783086b84fff98d2eb;preprocessing:preprocess;LE07_L1TP_183035_20041123_20170117_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20041123_20170117_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311095190;1625311107000;1625311314000;218810;206768;-;179.7;24.5;4121669632;5994127360;4121669632;5994180608;123165124;6908490;11707;1470;0;7028736;619;950;/workdir/work/95/d376be540e6c783086b84fff98d2eb;true;-
3;54/3f76cd;nf-543f76cd3be13b5b52780fd2a4445740;preprocessing:preprocess;LT05_L1TP_183035_20040811_20180309_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20040811_20180309_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311079578;1625311089000;1625311323000;243422;233505;-;179.0;24.2;4073181184;5942378496;4073181184;5942431744;112434021;18999713;10913;1837;16384;19116032;487;694;/workdir/work/54/3f76cd3be13b5b52780fd2a4445740;true;-
24;2a/765257;nf-2a765257f5882c5c9b8035131a1e4ec0;preprocessing:preprocess;LT05_L1TP_183035_19940917_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19940917_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311082965;1625311091000;1625311320000;237035;229258;-;176.5;23.9;4019093504;5894713344;4019093504;5894766592;103282427;7761760;10017;1494;0;7888896;499;632;/workdir/work/2a/765257f5882c5c9b8035131a1e4ec0;true;-
26;e6/bfed4b;nf-e6bfed4b354ebd28047ad92635355fa2;preprocessing:preprocess;LT05_L1TP_183035_19860607_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19860607_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311083164;1625311093000;1625311331000;247836;237202;-;163.6;23.6;3968102400;5829177344;3968102400;5829230592;118460411;2620729;10585;1338;0;2744320;594;536;/workdir/work/e6/bfed4b354ebd28047ad92635355fa2;true;-
28;05/5c8230;nf-055c8230775a02cdef9a18186141aeed;preprocessing:preprocess;LE07_L1TP_183035_20050923_20170112_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20050923_20170112_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311083504;1625311099000;1625311322000;238496;223225;-;179.9;24.6;4129771520;6009507840;4129771520;6009561088;123318206;6632037;11634;1459;0;6754304;667;739;/workdir/work/05/5c8230775a02cdef9a18186141aeed;true;-
34;60/83b07f;nf-6083b07f6ff950ef3fc89d43a7dac6d7;preprocessing:preprocess;LT05_L1TP_183035_20050323_20180128_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20050323_20180128_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311086166;1625311099000;1625311331000;244834;232019;-;173.3;24.3;4088635392;5962043392;4088635392;5962096640;124256974;12990400;11226;1653;0;13107200;657;849;/workdir/work/60/83b07f6ff950ef3fc89d43a7dac6d7;true;-
38;32/c910c9;nf-32c910c9abcf81620f7db95eab36faf3;preprocessing:preprocess;LE07_L1TP_183035_20030817_20170125_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20030817_20170125_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311086951;1625311100000;1625311323000;236049;223169;-;175.1;24.2;4060086272;5931429888;4060086272;5931483136;92263030;6019911;9802;1441;0;6139904;601;761;/workdir/work/32/c910c9abcf81620f7db95eab36faf3;true;-
41;f3/ae749f;nf-f3ae749f96947ae116c16ef9b2a93c3c;preprocessing:preprocess;LE07_L1TP_183035_20020713_20170129_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20020713_20170129_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311087544;1625311103000;1625311329000;241456;225775;-;175.7;24.1;4045557760;5924769792;4045557760;5924823040;119144348;8551956;10680;1519;0;8675328;639;709;/workdir/work/f3/ae749f96947ae116c16ef9b2a93c3c;true;-
43;12/763267;nf-12763267d533211e5874b07f0c32b416;preprocessing:preprocess;LT05_L1TP_183035_20020315_20180312_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20020315_20180312_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311087986;1625311106000;1625311329000;241014;223302;-;172.9;24.0;4040437760;5909086208;4040437760;5909139456;129046538;7017905;10808;1468;0;7143424;647;700;/workdir/work/12/763267d533211e5874b07f0c32b416;true;-
44;e8/6731cd;nf-e86731cdad779214cb7a42a67a18cdc8;preprocessing:preprocess;LT05_L1TP_183035_19910723_20180302_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19910723_20180302_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311088079;1625311100000;1625311336000;247921;235414;-;176.1;23.8;4003323904;5877755904;4003323904;5877809152;102426879;7170789;9907;1477;0;7299072;575;714;/workdir/work/e8/6731cdad779214cb7a42a67a18cdc8;true;-
46;42/90a5ea;nf-4290a5eacf41c199762bab0b9b377c81;preprocessing:preprocess;LT05_L1TP_183035_19990408_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19990408_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311088623;1625311104000;1625311332000;243377;228074;-;174.9;24.4;4095623168;5964431360;4095623168;5964484608;115090443;12340787;10885;1633;0;12464128;590;719;/workdir/work/42/90a5eacf41c199762bab0b9b377c81;true;-
47;c6/fa6bb9;nf-c6fa6bb935383cdf9aaae6dd7a25b34e;preprocessing:preprocess;LT05_L1TP_183035_19880628_20170613_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19880628_20170613_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311088860;1625311101000;1625311337000;248140;235656;-;172.6;23.9;4017127424;5853179904;4017127424;5853233152;102250020;9286876;9966;1541;0;9404416;536;785;/workdir/work/c6/fa6bb935383cdf9aaae6dd7a25b34e;true;-
48;77/367101;nf-77367101fbbf363a4b0b42c0099b5b0b;preprocessing:preprocess;LE07_L1TP_183035_20001112_20170209_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20001112_20170209_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311089032;1625311105000;1625311334000;244968;229339;-;177.4;24.3;4091047936;5971046400;4091047936;5971099648;133634334;11881296;11871;1621;0;12005376;668;773;/workdir/work/77/367101fbbf363a4b0b42c0099b5b0b;true;-
49;66/2af938;nf-662af93860f4cbc15c2531918ee9a8da;preprocessing:preprocess;LT05_L1TP_183035_19880409_20180112_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19880409_20180112_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311090162;1625311107000;1625311334000;243838;227064;-;175.8;23.9;4020305920;5881778176;4020305920;5881831424;108841386;11862111;10964;1619;0;11980800;568;764;/workdir/work/66/2af93860f4cbc15c2531918ee9a8da;true;-
50;e0/444de0;nf-e0444de0d3b0596e885aaf1475c1caa3;preprocessing:preprocess;LT05_L1TP_183035_19990118_20171215_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19990118_20171215_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311091174;1625311108000;1625311335000;243826;226486;-;174.9;24.2;4074323968;5949374464;4074323968;5949427712;121900513;13760414;11110;1680;0;13889536;613;724;/workdir/work/e0/444de0d3b0596e885aaf1475c1caa3;true;-
5;cc/6fc288;nf-cc6fc288187b6ff0e9d05a9e6e0462a1;preprocessing:preprocess;LE07_L1TP_183035_20000824_20170210_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20000824_20170210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311080097;1625311090000;1625311346000;265903;256179;-;171.1;24.0;4033327104;5912489984;4033327104;5912543232;115887188;8095618;10576;1505;0;8216576;629;712;/workdir/work/cc/6fc288187b6ff0e9d05a9e6e0462a1;true;-
12;ae/4f8bdf;nf-ae4f8bdfcdcc7e28d180152dad2a1726;preprocessing:preprocess;LT05_L1TP_183035_19980811_20170717_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980811_20170717_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311080940;1625311090000;1625311328000;247060;238091;-;176.1;24.3;4081836032;5960613888;4081836032;5960667136;113053012;15357110;11023;1727;28672;15482880;628;914;/workdir/work/ae/4f8bdfcdcc7e28d180152dad2a1726;true;-
16;0b/3a61a1;nf-0b3a61a1bec5a0f2f6778b98fdb8c9cd;preprocessing:preprocess;LT05_L1TP_183035_19950429_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19950429_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311081650;1625311090000;1625311342000;260350;251578;-;174.6;24.0;4029571072;5888933888;4029571072;5888987136;104937694;8109722;10005;1505;0;8232960;652;787;/workdir/work/0b/3a61a1bec5a0f2f6778b98fdb8c9cd;true;-
19;e0/f0a1f4;nf-e0f0a1f4ed386f5b725437ddac155d59;preprocessing:preprocess;LT05_L1TP_183035_19980304_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980304_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311082067;1625311090000;1625311332000;249933;241833;-;178.9;24.2;4069765120;5943422976;4069765120;5943476224;119253053;13249884;11097;1661;0;13373440;623;5038;/workdir/work/e0/f0a1f4ed386f5b725437ddac155d59;true;-
23;91/1908ba;nf-911908bab693fba60f6d8cf551a4d4ae;preprocessing:preprocess;LT05_L1TP_183035_19900602_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19900602_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311082893;1625311095000;1625311332000;249107;236755;-;173.0;23.7;3979489280;5842857984;3979489280;5842911232;115823005;9596464;10243;1551;0;9715712;515;685;/workdir/work/91/1908bab693fba60f6d8cf551a4d4ae;true;-
25;ef/5efabf;nf-ef5efabf43505e0dde3d003f58b887bb;preprocessing:preprocess;LE07_L1TP_183035_20020307_20170131_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20020307_20170131_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311083024;1625311096000;1625311354000;270976;257470;-;178.4;24.1;4050665472;5918806016;4050665472;5918859264;125365290;5787653;10985;1410;0;5881856;580;1046;/workdir/work/ef/5efabf43505e0dde3d003f58b887bb;true;-
27;db/00d758;nf-db00d758864e440a680150e3256694ed;preprocessing:preprocess;LT05_L1TP_183035_19991102_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19991102_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311083405;1625311100000;1625311339000;255595;239318;-;177.7;24.0;4024864768;5902303232;4024864768;5902356480;109158318;7150261;10141;1474;0;7266304;577;746;/workdir/work/db/00d758864e440a680150e3256694ed;true;-
32;a2/3a3a1e;nf-a23a3a1e8edd80bc6a7dd2f998567555;preprocessing:preprocess;LT05_L1TP_183035_19870423_20170213_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19870423_20170213_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311085722;1625311098000;1625311342000;256278;243897;-;171.5;24.0;4029382656;5893734400;4029382656;5893787648;135121951;13302456;11643;1662;0;13418496;599;1195;/workdir/work/a2/3a3a1e8edd80bc6a7dd2f998567555;true;-
39;bc/235122;nf-bc235122c7f2f04253f8a94fdb84fbfc;preprocessing:preprocess;LT05_L1TP_183035_20010515_20180311_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20010515_20180311_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311087050;1625311104000;1625311351000;263950;247004;-;174.8;24.4;4097425408;5967450112;4097425408;5967503360;123459678;11360764;11380;1604;5726208;11481088;671;2866;/workdir/work/bc/235122c7f2f04253f8a94fdb84fbfc;true;-
42;e1/d34c5b;nf-e1d34c5b7463043aed3bc301cee72df0;preprocessing:preprocess;LE07_L1TP_183035_20010405_20170205_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20010405_20170205_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311087634;1625311101000;1625311359000;271366;257324;-;174.2;24.3;4085825536;5953720320;4085825536;5953773568;145655439;12861929;11983;1648;0;12976128;637;703;/workdir/work/e1/d34c5b7463043aed3bc301cee72df0;true;-
52;c7/129c53;nf-c7129c533e00844e75557c6d393dd7bc;preprocessing:preprocess;LT05_L1TP_183035_19900805_20180620_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19900805_20180620_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311091941;1625311106000;1625311349000;257059;243353;-;172.2;23.8;4001832960;5861650432;4001832960;5861703680;104336827;8793008;10029;1526;0;8916992;583;996;/workdir/work/c7/129c533e00844e75557c6d393dd7bc;true;-
54;fa/5ca59a;nf-fa5ca59a5a60644b6fe277a61e551602;preprocessing:preprocess;LT05_L1TP_183035_19940731_20180720_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19940731_20180720_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311092609;1625311108000;1625311347000;254391;239175;-;171.3;23.8;3997126656;5861326848;3997126656;5861380096;112364199;7801430;10046;1495;0;7917568;526;766;/workdir/work/fa/5ca59a5a60644b6fe277a61e551602;true;-
55;88/7bf192;nf-887bf192e6a10d7c4a6450dad9f2813f;preprocessing:preprocess;LT05_L1TP_183035_19881205_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19881205_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311093661;1625311109000;1625311352000;258339;242164;-;176.1;23.7;3983585280;5835407360;3983585280;5835460608;122438180;9180254;10276;1540;0;9302016;617;955;/workdir/work/88/7bf192e6a10d7c4a6450dad9f2813f;true;-
56;d1/06c68e;nf-d106c68ec3089cd7a7eb0aec1a5115b0;preprocessing:preprocess;LT05_L1TP_183035_19950208_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19950208_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311093853;1625311108000;1625311358000;264147;250281;-;178.9;23.9;4010983424;5883576320;4010983424;5883629568;110398435;8558156;9983;1518;0;8683520;590;2166;/workdir/work/d1/06c68ec3089cd7a7eb0aec1a5115b0;true;-
58;76/694492;nf-766944925a471811acdfb495b40b42b5;preprocessing:preprocess;LE07_L1TP_183035_20060318_20170110_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20060318_20170110_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311094938;1625311109000;1625311365000;270062;255184;-;176.5;24.5;4121186304;6006841344;4122742784;6006894592;131652488;2398901;11609;1284;3592192;2461696;573;2916;/workdir/work/76/6944925a471811acdfb495b40b42b5;true;-
9;f1/dd235c;nf-f1dd235c4ad7de89d74ea0b512ddf3a0;preprocessing:preprocess;LT05_L1TP_183035_19970301_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19970301_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311080523;1625311090000;1625311349000;268477;258671;-;176.5;24.3;4079411200;5954916352;4079411200;5954969600;149050615;16283078;11753;1736;0;16379904;830;1210;/workdir/work/f1/dd235c4ad7de89d74ea0b512ddf3a0;true;-
11;f8/a2c462;nf-f8a2c462c524932c3946889e923e1af3;preprocessing:preprocess;LE07_L1TP_183035_20030105_20170127_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20030105_20170127_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311080842;1625311091000;1625311352000;271158;260426;-;169.5;24.4;4105953280;5978648576;4105953280;5978701824;132549407;13768423;11856;1679;118784;13893632;594;1024;/workdir/work/f8/a2c462c524932c3946889e923e1af3;true;-
20;e0/feba87;nf-e0feba876e328ba7f648a86d51fdb9b5;preprocessing:preprocess;LE07_L1TP_183035_19990923_20170217_01_T1;preprocessing:preprocess (LE07_L1TP_183035_19990923_20170217_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311082402;1625311097000;1625311363000;280598;264601;-;177.5;24.3;4077772800;5952434176;4088143872;5952487424;125579988;9835930;11749;1558;2957312;9957376;801;5550;/workdir/work/e0/feba876e328ba7f648a86d51fdb9b5;true;-
21;e5/d4f990;nf-e5d4f99008e24a93849b6043b4995989;preprocessing:preprocess;LT05_L1TP_183035_19960110_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19960110_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311082640;1625311095000;1625311371000;288360;275681;-;172.5;24.3;4081025024;5960658944;4081025024;5960712192;127416355;15642222;11253;1713;0;15732736;722;3021;/workdir/work/e5/d4f99008e24a93849b6043b4995989;true;-
22;80/f090d2;nf-80f090d22a88666ebd4aae12279e4a6f;preprocessing:preprocess;LT05_L1TP_183035_19920522_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19920522_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311082742;1625311096000;1625311384000;301258;288335;-;156.3;23.8;4002729984;5866479616;4002729984;5866532864;141365627;5445947;10656;1425;0;5570560;679;1282;/workdir/work/80/f090d22a88666ebd4aae12279e4a6f;true;-
29;9f/ae236b;nf-9fae236b27480aef2168e52d84c22c22;preprocessing:preprocess;LE07_L1TP_183035_20010216_20170206_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20010216_20170206_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1625311083618;1625311101000;1625311368000;284382;266441;-;175.5;24.1;4051623936;5912928256;4051623936;5912981504;147779491;11291960;11158;1604;0;11415552;668;893;/workdir/work/9f/ae236b27480aef2168e52d84c22c22;true;-
