task_id;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;7e/855938;nf-7e855938f3034bed9f48f0adec45c3ed;preprocessing:generateAnalysisMask;-;preprocessing:generateAnalysisMask;COMPLETED;0;-;davidfrantz/force:3.6.5;1;180000;-;524288000;1;1624559364617;1624559369000;1624559385000;20383;14317;-;92.5;0.1;25239552;86212608;25481216;86265856;69886587;4223527;26476;2385;3137536;6201344;556;75;/workdir/work/7e/855938f3034bed9f48f0adec45c3ed;true;-
1;84/3c9965;nf-843c996524c7281bc90ddde979436f95;preprocessing:generateTileAllowList;-;preprocessing:generateTileAllowList;COMPLETED;0;-;davidfrantz/force;1;180000;-;524288000;1;1624559364520;1624559369000;1624559405000;40480;35873;-;76.2;0.1;29237248;398491648;29245440;398663680;71362325;4883703;27758;2523;54521856;6823936;576;54;/workdir/work/84/3c996524c7281bc90ddde979436f95;true;-
12;3e/235fe4;nf-3e235fe4fd9709a781fce86195e5d256;preprocessing:preprocess;LT05_L1TP_183035_19980811_20170717_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980811_20170717_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624559416507;1624559425000;1624559621000;204493;195462;-;178.5;24.3;4083769344;5960613888;4083769344;5960667136;113051620;15357106;11023;1727;0;15482880;536;632;/workdir/work/3e/235fe4fd9709a781fce86195e5d256;true;-
6;1d/8deaae;nf-1d8deaaedadd3007afdbd6e16c42b009;preprocessing:preprocess;LT05_L1TP_183035_19980523_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980523_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624559415766;1624559426000;1624559628000;212234;201763;-;177.9;24.3;4082438144;5961752576;4082438144;5961805824;122203902;15527614;11292;1731;0;15654912;613;718;/workdir/work/1d/8deaaedadd3007afdbd6e16c42b009;true;-
3;bb/fb3df2;nf-bbfb3df26459737628c8d62c6af5bbf4;preprocessing:preprocess;LT05_L1TP_183035_20040811_20180309_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20040811_20180309_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624559415082;1624559422000;1624559644000;228918;221360;-;176.8;24.2;4072939520;5942378496;4072939520;5942431744;112432621;18999709;10912;1837;0;19116032;533;869;/workdir/work/bb/fb3df26459737628c8d62c6af5bbf4;true;-
14;b9/fd543b;nf-b9fd543b2612d99536e1e30d7b2c4862;preprocessing:preprocess;LT05_L1TP_183035_20010616_20180311_01_T1;preprocessing:preprocess (LT05_L1TP_183035_20010616_20180311_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624559417024;1624559425000;1624559642000;224976;216957;-;175.4;24.0;4036329472;5914595328;4036329472;5914648576;122743292;9003365;10634;1535;0;9125888;587;723;/workdir/work/b9/fd543b2612d99536e1e30d7b2c4862;true;-
4;74/c29bc8;nf-74c29bc8bb4ca2155869629f695bff63;preprocessing:preprocess;LT05_L1TP_183035_19980421_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19980421_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624559414946;1624559423000;1624559650000;235054;227293;-;174.1;24.3;4082155520;5960581120;4082155520;5960634368;121552186;18587020;11350;1823;0;18706432;820;920;/workdir/work/74/c29bc8bb4ca2155869629f695bff63;true;-
13;39/962af8;nf-39962af87bd97ddd834959e32d064014;preprocessing:preprocess;LT05_L1TP_183035_19950718_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19950718_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624559416632;1624559428000;1624559657000;240368;229317;-;173.3;23.8;3993296896;5860831232;3993296896;5860884480;101250926;6503407;9763;1457;0;6631424;656;1281;/workdir/work/39/962af87bd97ddd834959e32d064014;true;-
5;62/efc8a4;nf-62efc8a47fff7c014c399ac0782873fc;preprocessing:preprocess;LE07_L1TP_183035_20000824_20170210_01_T1;preprocessing:preprocess (LE07_L1TP_183035_20000824_20170210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624559415629;1624559424000;1624559682000;266371;258250;-;172.9;24.0;4034838528;5912489984;4034838528;5912543232;115885804;8095616;10576;1505;0;8216576;802;971;/workdir/work/62/efc8a47fff7c014c399ac0782873fc;true;-
16;1a/51b0c3;nf-1a51b0c36f584e5a696c82fd19fa10aa;preprocessing:preprocess;LT05_L1TP_183035_19950429_20180210_01_T1;preprocessing:preprocess (LT05_L1TP_183035_19950429_20180210_01_T1);COMPLETED;0;-;davidfrantz/force:3.6.5;2;1200000;-;4718592000;1;1624559417437;1624559426000;1624559685000;267563;259408;-;172.0;24.0;4027990016;5888933888;4027990016;5888987136;104936293;8109718;10005;1505;0;8232960;571;1484;/workdir/work/1a/51b0c36f584e5a696c82fd19fa10aa;true;-
